time,dist
2019-09-30 19:18:21.000006,55656.300718237384
2019-09-30 19:48:21.000006,66471.72522791984
2019-09-30 20:18:21.000006,4736.357288343464
2019-09-30 20:47:48.000055,0.0
2019-09-30 21:17:48.000055,0.0
2019-09-30 21:47:48.000055,0.0
2019-09-30 22:17:48.000055,0.0
2019-09-30 22:47:48.000055,0.0
2019-09-30 23:17:48.000055,0.0
2019-09-30 23:47:48.000055,0.0
2019-10-01 00:17:48.000055,0.0
2019-10-01 00:47:48.000055,0.0
2019-10-01 01:17:48.000055,0.0
2019-10-01 01:47:48.000055,0.0
2019-10-01 02:17:48.000055,0.0
2019-10-01 02:47:48.000055,0.0
2019-10-01 03:17:48.000055,0.0
2019-10-01 03:47:48.000055,0.0
2019-10-01 04:17:48.000055,0.0
2019-10-01 04:47:48.000055,0.0
2019-10-01 05:17:48.000055,0.0
2019-10-01 05:47:48.000055,0.0
2019-10-01 06:17:59.000052,45289.54713537443
2019-10-01 06:47:59.000055,32093.17125878929
2019-10-01 07:17:59.000056,40948.49846226401
2019-10-01 07:47:59.000056,64486.315161453516
2019-10-01 08:17:59.000056,43754.72989882781
2019-10-01 08:47:59.000058,102887.29938436991
2019-10-01 09:17:59.000069,151325.08859713815
2019-10-01 09:47:59.000070,123596.80939528054
2019-10-01 10:17:59.000072,152632.59736635245
2019-10-01 10:47:59.000080,160032.11417146237
2019-10-01 11:17:59.000080,98464.4141830871
2019-10-01 11:47:59.000083,109413.50832977465
2019-10-01 12:17:59.000085,110664.4643932908
2019-10-01 12:47:59.000087,133077.08091344414
2019-10-01 13:17:59.000087,110748.19912996178
2019-10-01 13:47:59.000091,73916.66461898465
2019-10-01 14:17:59.000092,143367.35766422845
2019-10-01 14:47:59.000092,31990.02190206724
2019-10-01 15:17:59.000096,62414.72838795324
2019-10-01 15:47:59.000097,35555.3357992811
2019-10-01 16:17:59.000097,25179.836818392574
2019-10-01 16:48:00.000015,28361.846928402152
2019-10-01 17:18:00.000017,21123.222420489055
2019-10-01 17:48:05.000075,16800.18309762377
2019-10-01 18:18:05.000075,17807.294889319863
2019-10-01 18:48:05.000075,41612.288916986574
2019-10-01 19:18:05.000077,28417.025033855294
2019-10-01 19:48:05.000077,180784.91919538338
2019-10-01 20:18:05.000077,26878.85001748997
2019-10-01 20:47:59.000050,0.0
2019-10-01 21:17:59.000050,0.0
2019-10-01 21:47:59.000050,0.0
2019-10-01 22:17:59.000050,0.0
2019-10-01 22:47:59.000050,0.0
2019-10-01 23:17:59.000050,0.0
2019-10-01 23:47:59.000050,0.0
2019-10-02 00:17:59.000050,0.0
2019-10-02 00:47:59.000050,0.0
2019-10-02 01:17:59.000050,0.0
2019-10-02 01:47:59.000050,0.0
2019-10-02 02:17:59.000050,0.0
2019-10-02 02:47:59.000050,0.0
2019-10-02 03:17:59.000050,0.0
2019-10-02 03:47:59.000050,0.0
2019-10-02 04:17:59.000050,0.0
2019-10-02 04:47:59.000050,0.0
2019-10-02 05:17:59.000050,0.0
2019-10-02 05:47:59.000050,0.0
2019-10-02 06:17:46.000008,48878.2456470035
2019-10-02 06:47:46.000008,25521.579827591886
2019-10-02 07:17:46.000008,32777.420702306896
2019-10-02 07:47:46.000009,52685.90917587621
2019-10-02 08:17:46.000009,58668.48314935287
2019-10-02 08:47:46.000009,146029.2106000313
2019-10-02 09:17:46.000011,97912.3566513692
2019-10-02 09:47:46.000011,137836.41975366633
2019-10-02 10:17:46.000011,192681.05148436883
2019-10-02 10:47:46.000015,182211.21291874564
2019-10-02 11:17:46.000015,138256.54020651022
2019-10-02 11:47:46.000018,90626.31405763655
2019-10-02 12:17:46.000019,113629.6933064328
2019-10-02 12:47:46.000025,81465.91891954312
2019-10-02 13:17:46.000025,53049.67757411983
2019-10-02 13:47:49.000020,102604.03605851247
2019-10-02 14:17:49.000021,69631.42078678057
2019-10-02 14:47:49.000022,96796.78898512777
2019-10-02 15:17:49.000022,65130.63161879197
2019-10-02 15:47:49.000022,62433.85375504033
2019-10-02 16:17:49.000024,44968.7605411143
2019-10-02 16:47:49.000027,47664.35434613213
2019-10-02 17:17:49.000027,51729.14089791614
2019-10-02 17:47:49.000028,68722.6136183626
2019-10-02 18:17:49.000036,45964.39136721147
2019-10-02 18:47:49.000038,52484.29333261735
2019-10-02 19:17:49.000038,46012.33066498556
2019-10-02 19:47:49.000038,68720.38998438627
2019-10-02 20:17:49.000038,25275.25606804565
2019-10-02 20:47:46.000007,0.0
2019-10-02 21:17:46.000007,0.0
2019-10-02 21:47:46.000007,0.0
2019-10-02 22:17:46.000007,0.0
2019-10-02 22:47:46.000007,0.0
2019-10-02 23:17:46.000007,0.0
2019-10-02 23:47:46.000007,0.0
2019-10-03 00:17:46.000007,0.0
2019-10-03 00:47:46.000007,0.0
2019-10-03 01:17:46.000007,0.0
2019-10-03 01:47:46.000007,0.0
2019-10-03 02:17:46.000007,0.0
2019-10-03 02:47:46.000007,0.0
2019-10-03 03:17:46.000007,0.0
2019-10-03 03:47:46.000007,0.0
2019-10-03 04:17:46.000007,0.0
2019-10-03 04:47:46.000007,0.0
2019-10-03 05:17:46.000007,0.0
2019-10-03 05:47:46.000007,0.0
2019-10-03 06:17:56.000095,80995.96122006349
2019-10-03 06:47:56.000097,111157.50733770286
2019-10-03 07:17:56.000097,86702.71101273401
2019-10-03 07:47:56.000097,105427.98432900604
2019-10-03 08:17:57.000000,128292.54307369536
2019-10-03 08:47:57.000003,138269.30609678224
2019-10-03 09:17:57.000003,134509.24194855342
2019-10-03 09:47:57.000005,113121.33241331631
2019-10-03 10:17:57.000005,123116.67658812978
2019-10-03 10:47:57.000008,96644.51420429346
2019-10-03 11:17:57.000009,107239.5635983127
2019-10-03 11:47:57.000063,81228.15211823511
2019-10-03 12:17:57.000063,125448.0638590723
2019-10-03 12:47:57.000063,131949.11623856702
